BusinessPartner;PersonFullName;BusinessPartnerCategory;LastChangeDate;LastChangeTime
000001;Mrs. Theresia Buchholm;1;2024-01-19;21:48:32
000002;Mr. Johannes Buchholm;1;2024-01-08;11:22:01
000003;Mr. James Buchholm;1;2022-11-04;15:27:46
000004;Mr. Thomas Buchholm;1;2021-10-12;21:31:17
000005;Mrs. Anna Buchholm;1;2024-09-17;01:54:17
000006;Mrs. Uli Buchholm;1;2024-12-05;09:19:28
000007;Mr. Jean Luc Buchholm;1;2024-06-18;09:48:00
000008;Mr. August Buchholm;1;2021-11-28;06:25:43
000009;Mr. Achim Buchholm;1;2023-06-29;03:21:52
000010;Mrs. Irmtraut Buchholm;1;2021-03-31;04:53:30
000011;Mr. Thilo Buchholm;1;2021-05-21;00:10:47
000012;Mr. Adam Buchholm;1;2021-05-15;04:44:03
000013;Mrs. Christa Buchholm;1;2021-06-20;04:14:17
000014;Mr. Andreas Vrsic;1;2024-03-18;20:24:53
000015;Mr. Adam Vrsic;1;2024-12-21;23:49:44
000016;Mr. Max Vrsic;1;2021-04-17;03:51:15
000017;Mrs. Uli Vrsic;1;2023-10-18;17:30:55
000018;Mr. Max Vrsic;1;2024-11-21;22:06:07
000019;Mrs. Uli Vrsic;1;2021-10-03;22:31:16
000020;Mrs. Uli Jeremias;1;2021-03-07;02:43:15
000021;Mr. Johann Jeremias;1;2024-05-01;20:24:05
000022;Mrs. Marta Jeremias;1;2021-07-27;05:29:37
000023;Mrs. Uli Jeremias;1;2022-05-19;22:41:34
000024;Mr. Siegfried Jeremias;1;2024-08-25;10:44:10
000025;Mrs. Uli Jeremias;1;2023-11-13;04:21:05
000026;Mr. Andrej Jeremias;1;2021-05-25;21:26:50
000027;Mr. Jean Jeremias;1;2021-10-06;19:35:59
000028;Mrs. Ruth Jeremias;1;2021-08-06;03:56:52
000029;Mrs. Ruth Jeremias;1;2023-08-07;14:04:15
000030;Mr. Holm Jeremias;1;2023-07-19;23:59:31
000031;Mr. Johannes Jeremias;1;2021-11-20;01:42:43
000032;Mr. Simon Jeremias;1;2022-08-16;06:50:02
000033;Mr. Walter Jeremias;1;2023-04-13;14:03:16
000034;Mr. Andrej Gutenberg;1;2024-10-20;14:46:09
000035;Mr. Jean Luc Gutenberg;1;2024-09-02;19:20:55
000036;Mr. Allen Gutenberg;1;2021-07-10;13:17:51
000037;Mrs. Astrid Gutenberg;1;2022-12-17;20:29:22
000038;Mr. Peter Gutenberg;1;2022-07-19;02:23:04
000039;Mrs. Uli Gutenberg;1;2024-06-04;08:18:08
000040;Mrs. Cindy Gutenberg;1;2022-05-06;06:29:32
000041;Mr. Lee Gutenberg;1;2021-12-10;10:49:38
000042;Mrs. Ruth Gutenberg;1;2023-06-05;14:20:13
000043;Mr. Volker Gutenberg;1;2021-12-12;16:41:23
000044;Mr. Kurt Gutenberg;1;2024-02-08;21:53:32
000045;Mr. Friedrich Gutenberg;1;2022-04-12;21:55:03
000046;Mrs. Mathilde Gutenberg;1;2023-11-11;21:59:49
000047;Mr. Benjamin Gutenberg;1;2022-04-12;11:09:30
000048;Mr. Florian Fischmann;1;2023-04-15;20:06:14
000049;Mr. Guillermo Fischmann;1;2022-03-13;12:30:38
000050;Mr. Matthias Fischmann;1;2023-06-08;22:25:34
000051;Mrs. Christine Fischmann;1;2024-08-27;20:56:41
000052;Mr. Salvador Fischmann;1;2022-01-28;00:55:25
000053;Mr. Salvador Fischmann;1;2021-07-20;05:17:41
000054;Mrs. Chantal Columbo;1;2024-01-11;05:58:53
000055;Mr. Matthias Columbo;1;2021-03-21;01:54:14
000056;Mr. Walter Columbo;1;2021-07-13;09:52:51
000057;Mr. Lee Columbo;1;2022-09-02;07:48:07
000058;Mr. Christoph Columbo;1;2023-11-28;22:52:06
000059;Mr. Christoph Columbo;1;2024-02-11;03:10:59
000060;Mr. Holm Columbo;1;2023-12-04;18:35:37
000061;Mrs. Ulla Columbo;1;2023-06-28;16:44:42
000062;Mrs. Ruth Columbo;1;2021-11-28;06:29:43
000063;Mr. Volker Columbo;1;2023-06-29;22:14:40
000064;Mrs. Irmtraut Columbo;1;2023-05-18;05:17:54
000065;Mrs. Christa Columbo;1;2021-08-21;07:16:26
000066;Mr. Peter Columbo;1;2022-06-05;05:59:15
000067;Mrs. Jasmin Columbo;1;2023-11-25;00:37:00
000068;Mr. Johann Columbo;1;2023-02-20;08:15:01
000069;Mr. Thilo Neubasler;1;2022-12-26;14:18:33
000070;Mr. Max Neubasler;1;2023-02-12;16:39:15
000071;Mrs. Theresia Neubasler;1;2022-11-25;01:18:12
000072;Mrs. Theresia Neubasler;1;2023-08-09;04:43:02
000073;Mr. Florian Neubasler;1;2022-09-30;09:12:39
000074;Mrs. Anna Neubasler;1;2024-07-27;08:22:52
000075;Mrs. Irmtraut Neubasler;1;2021-08-28;08:20:18
000076;Mrs. Christine Neubasler;1;2023-10-23;09:44:21
000077;Mr. Hendrik Neubasler;1;2024-12-21;06:18:56
000078;Mr. Jean Neubasler;1;2024-01-21;21:52:40
000079;Mr. Volker Neubasler;1;2023-08-09;04:12:30
000080;Mr. Lee Neubasler;1;2023-06-13;03:20:00
000081;Mrs. Sophie Neubasler;1;2023-09-28;08:41:29
000082;Mrs. Anna Neubasler;1;2022-06-10;00:45:46
000083;Mr. Horst Neubasler;1;2022-07-28;01:11:07
000084;Mrs. Mathilde Martin;1;2021-03-03;05:03:30
000085;Mrs. Christine Martin;1;2023-05-05;01:14:04
000086;Mrs. Jasmin Martin;1;2023-10-17;23:09:52
000087;Mrs. Astrid Martin;1;2022-04-14;11:49:13
000088;Mr. Volker Martin;1;2024-05-04;11:03:21
000089;Mr. Andreas Martin;1;2023-02-06;08:54:42
000090;Mrs. Amelie Martin;1;2022-12-23;01:35:51
000091;Mr. Jean Detemple;1;2024-08-01;02:49:55
000092;Mrs. Claire Detemple;1;2023-07-13;09:21:47
000093;Mrs. Sophie Detemple;1;2023-04-13;14:39:38
000094;Mr. Jean Detemple;1;2021-08-22;13:55:01
000095;Mr. Allen Detemple;1;2022-03-30;14:23:40
000096;Mrs. Astrid Detemple;1;2024-05-08;13:38:47
